File Title: ,C:\Users\slank\Desktop\LOG01.LOG
File Name: ,C:\Users\slank\Desktop\LOG01.LOG
Start Time:,9/28/2017 3:56:30 PM
End Time:,10/15/2017 4:54:53 PM
Interval:,15
Records:,54663
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Error #
9/28/2017 5:09:59 PM,2.65515946703696E-02,0
9/28/2017 5:10:14 PM,2.29799093735799E-02,0
9/28/2017 5:10:29 PM,2.00420645386282E-02,0
9/28/2017 5:10:44 PM,1.82581441179742E-02,0
9/28/2017 5:10:59 PM,1.74440703185558E-02,0
9/28/2017 5:11:14 PM,1.69135729944809E-02,0
9/28/2017 5:11:30 PM,1.58192715989303E-02,0
9/28/2017 5:11:44 PM,1.56594798390454E-02,0
9/28/2017 5:12:00 PM,1.49010345175674E-02,0
9/28/2017 5:12:14 PM,1.57449476480951E-02,0
9/28/2017 5:12:29 PM,1.50647350844877E-02,0
9/28/2017 5:12:44 PM,1.50683316440267E-02,0
9/28/2017 5:12:59 PM,1.51795456106681E-02,0
9/28/2017 5:13:16 PM,1.52296497644949E-02,0
9/28/2017 5:13:29 PM,0.014810471031675,0
9/28/2017 5:13:44 PM,1.50259639393801E-02,0
9/28/2017 5:13:59 PM,1.51800472438002E-02,0
9/28/2017 5:14:14 PM,1.52403366454946E-02,0
9/28/2017 5:14:29 PM,1.59693046987895E-02,0
9/28/2017 5:14:44 PM,1.53677986365715E-02,0
9/28/2017 5:14:59 PM,1.54829205975001E-02,0
9/28/2017 5:15:14 PM,1.46023734355027E-02,0
9/28/2017 5:15:29 PM,1.47450758069416E-02,0
9/28/2017 5:15:44 PM,1.46847110262833E-02,0
9/28/2017 5:15:59 PM,1.45085223339068E-02,0
9/28/2017 5:16:15 PM,1.40220303098296E-02,0
9/28/2017 5:16:29 PM,1.36543992542976E-02,0
9/28/2017 5:16:44 PM,1.48284254893431E-02,0
9/28/2017 5:16:59 PM,1.47925547515174E-02,0
9/28/2017 5:17:14 PM,1.46578673630108E-02,0
9/28/2017 5:17:29 PM,1.50467350405282E-02,0
9/28/2017 5:17:44 PM,1.51643492583466E-02,0
9/28/2017 5:18:00 PM,1.44692882512446E-02,0
9/28/2017 5:18:14 PM,1.40084855231721E-02,0
9/28/2017 5:18:29 PM,1.34705620727936E-02,0
9/28/2017 5:18:44 PM,1.39381950229686E-02,0
9/28/2017 5:18:59 PM,0.01272877136366,0
9/28/2017 5:19:14 PM,1.28899466524081E-02,0
9/28/2017 5:19:29 PM,4.67330481255844,0
9/28/2017 5:19:46 PM,4.4616503497188,0
9/28/2017 5:19:59 PM,2.91241207246917,0
9/28/2017 5:20:15 PM,1.61748588976954,0
9/28/2017 5:20:30 PM,1.0918059682815,0
9/28/2017 5:20:44 PM,0.454045415715843,0
9/28/2017 5:20:59 PM,0.557819385777937,0
9/28/2017 5:21:14 PM,0.438743297555199,0
9/28/2017 5:21:29 PM,1.01695644670154E-02,0
9/28/2017 5:21:44 PM,9.97443774936824E-03,0
9/28/2017 5:21:59 PM,9.67733292829142E-03,0
9/28/2017 5:22:14 PM,8.5128493881548E-03,0
9/28/2017 5:22:29 PM,8.87712699577051E-03,0
